queryNumber,query
1,Where is my order with my email id alex.morgan@example.com
2,Where is my order with my email id alex.morgan@example.com
3,Where is my order with my email id alex.morgan@example.com
4,Where is my order with my email id alex.morgan@example.com
5,Where is my order with my email id alex.morgan@example.com
6,Where is my order with my email id alex.morgan@example.com
7,Where is my order with my email id alex.morgan@example.com
8,Where is my order with my email id alex.morgan@example.com
9,Where is my order with my email id alex.morgan@example.com
10,Where is my order with my email id alex.morgan@example.com
